CONTRIBUINTE ,Qtd Templos
CONSELHO METR DE FORTALEZA DA SOC S VICENTE DE PAULO,53
ASSOC BRAS DA IGREJA DE JESUS CRISTO SANTOS ULTIS DIAS,21
ASSOC BRAS D A IGREJA DE JESUS CRISTO SANTOS ULTS DIAS,18
UNIAO NORTE BRASILEIRA DA IGREJA ADVENTISTA DO 7 DIA,14
IGREJA EVANGELICA ASSEMB DE DEUS DE BELA VISTA,11
IGREJA BETESDA DO CEARÁ,9
ASSOCIACAO DE SAO VICENTE DE PAULO DE FORTALEZA,6
ASSOCIACAO REG DA CARIDADE DE S VICENTE DE PAULO DO CE,5
CONSELHO DE OBRAS PAROQUIAIS DE EDUCACAO E ASSISTENCIA,5
UNIAO ESPIRITA CEARENSE,4
LECTORIUM ROSICRUCIANUN,3
DIACONIA,3
CONGREGACAO DAS RELIGIOSAS SAGRADA FACE,3
ASSOCIACAO B DAS FILHAS DE SANTANA,3
CONGREGACAO DOS SACERDOTES DO SAGRADO CORACAO DE JESUS,3
IRMANDADE BENEF DA SANTA CASA DA MISERICORDIA DE FORTALEZA,3
INSTITUICAO ESPIRITA NOSSO LAR,2
IGREJA EVANGELICA ASSEMBLEIA DE DEUS FONTE INESGOTAVEL,2
INSTITUTO MARIA IMACULADA,2
MISSIONARIAS DE SANTA TEREZINHA,2
INSTITUTO HESED D IR E IRMAS DA S CRUZ BAV MA DO M CARMELO,2
IGREJA PRESBITERIANA DE MONTE CASTELO,2
CENTRO COMUNITARIO CRISTO REDENTOR,2
UNIAO NORTE BRASILEIRA DE EDUCACAO E CULTURA,2
IGREJA EVANGELICA ASSEMBLEIA DE DEUS FILADELFIA-MIN FILADELF,2
ANTIGA E MISTICA ORD ROSAE CRUCIS AMORC GLJL PORTUGUESA,2
IGREJA DO EVANGELIO PLENO,2
ASSOCIACAO NOVA JERUSALEM,2
UNIAO MISS DOS ADV DO SET DIA M R NO BR,2
IGREJA EVANGELICA ASSEMBLEIA DE DEUS DE BELA VISTA,2
ASSOCIACAO EDUCACIONAL MARIA AUXILIADORA,2
ACAO SOCIAL DA PAROQUIA DE SAO RAIMUNDO ASPAR,2
IGREJA BATISTA REGULAR FILADELFIA,2
